snapshot_date,tag_name,asset_id,asset_name,download_count,size,updated_at,browser_download_url
2026-06-30,v3.6.0,460760197,StoryForge-Windows-Portable-v3.6.0.zip,9,3932752,2026-06-29T04:23:00Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.6.0/StoryForge-Windows-Portable-v3.6.0.zip
2026-06-30,v3.6.0,460760198,SHA256SUMS.txt,3,201,2026-06-29T04:23:00Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.6.0/SHA256SUMS.txt
2026-06-30,v3.6.0,460760199,StoryForge-Windows-v3.6.0.exe,8,11097600,2026-06-29T04:23:00Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.6.0/StoryForge-Windows-v3.6.0.exe
2026-06-30,v3.7.0,460988901,StoryForge-Windows-v3.7.0.exe,0,11220480,2026-06-29T09:56:17Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.0/StoryForge-Windows-v3.7.0.exe
2026-06-30,v3.7.0,460988903,StoryForge-Windows-Portable-v3.7.0.zip,1,3972522,2026-06-29T09:56:17Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.0/StoryForge-Windows-Portable-v3.7.0.zip
2026-06-30,v3.7.0,460988904,SHA256SUMS.txt,0,201,2026-06-29T09:56:17Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.0/SHA256SUMS.txt
2026-06-30,v3.7.1,461012280,StoryForge-Windows-v3.7.1.exe,1,11220480,2026-06-29T10:28:26Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.1/StoryForge-Windows-v3.7.1.exe
2026-06-30,v3.7.1,461012281,SHA256SUMS.txt,0,201,2026-06-29T10:28:25Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.1/SHA256SUMS.txt
2026-06-30,v3.7.1,461012282,StoryForge-Windows-Portable-v3.7.1.zip,3,3972656,2026-06-29T10:28:26Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.1/StoryForge-Windows-Portable-v3.7.1.zip
2026-06-30,v3.7.2,461036705,SHA256SUMS.txt,10,201,2026-06-29T11:00:37Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.2/SHA256SUMS.txt
2026-06-30,v3.7.2,461036706,StoryForge-Windows-v3.7.2.exe,36,11219968,2026-06-29T11:00:38Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.2/StoryForge-Windows-v3.7.2.exe
2026-06-30,v3.7.2,461036707,StoryForge-Windows-Portable-v3.7.2.zip,47,3972475,2026-06-29T11:00:38Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.2/StoryForge-Windows-Portable-v3.7.2.zip
2026-07-01,v3.6.0,460760197,StoryForge-Windows-Portable-v3.6.0.zip,9,3932752,2026-06-29T04:23:00Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.6.0/StoryForge-Windows-Portable-v3.6.0.zip
2026-07-01,v3.6.0,460760198,SHA256SUMS.txt,3,201,2026-06-29T04:23:00Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.6.0/SHA256SUMS.txt
2026-07-01,v3.6.0,460760199,StoryForge-Windows-v3.6.0.exe,8,11097600,2026-06-29T04:23:00Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.6.0/StoryForge-Windows-v3.6.0.exe
2026-07-01,v3.7.0,460988901,StoryForge-Windows-v3.7.0.exe,0,11220480,2026-06-29T09:56:17Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.0/StoryForge-Windows-v3.7.0.exe
2026-07-01,v3.7.0,460988903,StoryForge-Windows-Portable-v3.7.0.zip,1,3972522,2026-06-29T09:56:17Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.0/StoryForge-Windows-Portable-v3.7.0.zip
2026-07-01,v3.7.0,460988904,SHA256SUMS.txt,0,201,2026-06-29T09:56:17Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.0/SHA256SUMS.txt
2026-07-01,v3.7.1,461012280,StoryForge-Windows-v3.7.1.exe,3,11220480,2026-06-29T10:28:26Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.1/StoryForge-Windows-v3.7.1.exe
2026-07-01,v3.7.1,461012281,SHA256SUMS.txt,0,201,2026-06-29T10:28:25Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.1/SHA256SUMS.txt
2026-07-01,v3.7.1,461012282,StoryForge-Windows-Portable-v3.7.1.zip,4,3972656,2026-06-29T10:28:26Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.1/StoryForge-Windows-Portable-v3.7.1.zip
2026-07-01,v3.7.2,461036705,SHA256SUMS.txt,16,201,2026-06-29T11:00:37Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.2/SHA256SUMS.txt
2026-07-01,v3.7.2,461036706,StoryForge-Windows-v3.7.2.exe,84,11219968,2026-06-29T11:00:38Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.2/StoryForge-Windows-v3.7.2.exe
2026-07-01,v3.7.2,461036707,StoryForge-Windows-Portable-v3.7.2.zip,95,3972475,2026-06-29T11:00:38Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.2/StoryForge-Windows-Portable-v3.7.2.zip
2026-07-02,v3.6.0,460760197,StoryForge-Windows-Portable-v3.6.0.zip,12,3932752,2026-06-29T04:23:00Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.6.0/StoryForge-Windows-Portable-v3.6.0.zip
2026-07-02,v3.6.0,460760198,SHA256SUMS.txt,3,201,2026-06-29T04:23:00Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.6.0/SHA256SUMS.txt
2026-07-02,v3.6.0,460760199,StoryForge-Windows-v3.6.0.exe,8,11097600,2026-06-29T04:23:00Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.6.0/StoryForge-Windows-v3.6.0.exe
2026-07-02,v3.7.0,460988901,StoryForge-Windows-v3.7.0.exe,0,11220480,2026-06-29T09:56:17Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.0/StoryForge-Windows-v3.7.0.exe
2026-07-02,v3.7.0,460988903,StoryForge-Windows-Portable-v3.7.0.zip,2,3972522,2026-06-29T09:56:17Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.0/StoryForge-Windows-Portable-v3.7.0.zip
2026-07-02,v3.7.0,460988904,SHA256SUMS.txt,0,201,2026-06-29T09:56:17Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.0/SHA256SUMS.txt
2026-07-02,v3.7.1,461012280,StoryForge-Windows-v3.7.1.exe,3,11220480,2026-06-29T10:28:26Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.1/StoryForge-Windows-v3.7.1.exe
2026-07-02,v3.7.1,461012281,SHA256SUMS.txt,0,201,2026-06-29T10:28:25Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.1/SHA256SUMS.txt
2026-07-02,v3.7.1,461012282,StoryForge-Windows-Portable-v3.7.1.zip,7,3972656,2026-06-29T10:28:26Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.1/StoryForge-Windows-Portable-v3.7.1.zip
2026-07-02,v3.7.2,461036705,SHA256SUMS.txt,31,201,2026-06-29T11:00:37Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.2/SHA256SUMS.txt
2026-07-02,v3.7.2,461036706,StoryForge-Windows-v3.7.2.exe,131,11219968,2026-06-29T11:00:38Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.2/StoryForge-Windows-v3.7.2.exe
2026-07-02,v3.7.2,461036707,StoryForge-Windows-Portable-v3.7.2.zip,176,3972475,2026-06-29T11:00:38Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.2/StoryForge-Windows-Portable-v3.7.2.zip
2026-07-03,v3.6.0,460760197,StoryForge-Windows-Portable-v3.6.0.zip,13,3932752,2026-06-29T04:23:00Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.6.0/StoryForge-Windows-Portable-v3.6.0.zip
2026-07-03,v3.6.0,460760198,SHA256SUMS.txt,3,201,2026-06-29T04:23:00Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.6.0/SHA256SUMS.txt
2026-07-03,v3.6.0,460760199,StoryForge-Windows-v3.6.0.exe,8,11097600,2026-06-29T04:23:00Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.6.0/StoryForge-Windows-v3.6.0.exe
2026-07-03,v3.7.0,460988901,StoryForge-Windows-v3.7.0.exe,0,11220480,2026-06-29T09:56:17Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.0/StoryForge-Windows-v3.7.0.exe
2026-07-03,v3.7.0,460988903,StoryForge-Windows-Portable-v3.7.0.zip,3,3972522,2026-06-29T09:56:17Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.0/StoryForge-Windows-Portable-v3.7.0.zip
2026-07-03,v3.7.0,460988904,SHA256SUMS.txt,0,201,2026-06-29T09:56:17Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.0/SHA256SUMS.txt
2026-07-03,v3.7.1,461012280,StoryForge-Windows-v3.7.1.exe,3,11220480,2026-06-29T10:28:26Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.1/StoryForge-Windows-v3.7.1.exe
2026-07-03,v3.7.1,461012281,SHA256SUMS.txt,0,201,2026-06-29T10:28:25Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.1/SHA256SUMS.txt
2026-07-03,v3.7.1,461012282,StoryForge-Windows-Portable-v3.7.1.zip,9,3972656,2026-06-29T10:28:26Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.1/StoryForge-Windows-Portable-v3.7.1.zip
2026-07-03,v3.7.2,461036705,SHA256SUMS.txt,37,201,2026-06-29T11:00:37Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.2/SHA256SUMS.txt
2026-07-03,v3.7.2,461036706,StoryForge-Windows-v3.7.2.exe,168,11219968,2026-06-29T11:00:38Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.2/StoryForge-Windows-v3.7.2.exe
2026-07-03,v3.7.2,461036707,StoryForge-Windows-Portable-v3.7.2.zip,231,3972475,2026-06-29T11:00:38Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.2/StoryForge-Windows-Portable-v3.7.2.zip
2026-07-03,v3.7.3,465065783,StoryForge-Windows-Portable-v3.7.3.zip,4,3985417,2026-07-03T05:15:23Z,https://github.com/yuanbw2025/storyforge/releases/download/v3.7.3/StoryForge-Windows-Portable-v3.7.3.zip
